year,date,precip_mm
2020,2020-06-01,2.3
2020,2020-06-02,23.0
2020,2020-06-03,1.7
2020,2020-06-04,0.0
2020,2020-06-05,1.1
2020,2020-06-06,0.0
2020,2020-06-07,0.1
2020,2020-06-08,0.0
2020,2020-06-09,9.7
2020,2020-06-10,5.9
2020,2020-06-11,0.1
2020,2020-06-12,0.1
2020,2020-06-13,0.0
2020,2020-06-14,0.0
2020,2020-06-15,0.0
2020,2020-06-16,0.0
2020,2020-06-17,0.0
2020,2020-06-18,0.0
2020,2020-06-19,0.2
2020,2020-06-20,12.6
2020,2020-06-21,0.9
2020,2020-06-22,17.8
2020,2020-06-23,0.8
2020,2020-06-24,4.2
2020,2020-06-25,0.0
2020,2020-06-26,25.4
2020,2020-06-27,0.0
2020,2020-06-28,0.6
2020,2020-06-29,5.2
2020,2020-06-30,0.2
2021,2021-06-01,0.0
2021,2021-06-02,0.0
2021,2021-06-03,0.0
2021,2021-06-04,0.3
2021,2021-06-05,0.0
2021,2021-06-06,0.0
2021,2021-06-07,0.5
2021,2021-06-08,0.6
2021,2021-06-09,0.1
2021,2021-06-10,0.0
2021,2021-06-11,0.6
2021,2021-06-12,3.2
2021,2021-06-13,0.0
2021,2021-06-14,0.0
2021,2021-06-15,0.0
2021,2021-06-16,0.0
2021,2021-06-17,0.4
2021,2021-06-18,9.3
2021,2021-06-19,0.0
2021,2021-06-20,12.5
2021,2021-06-21,0.1
2021,2021-06-22,0.0
2021,2021-06-23,1.6
2021,2021-06-24,1.0
2021,2021-06-25,11.0
2021,2021-06-26,27.8
2021,2021-06-27,2.6
2021,2021-06-28,1.6
2021,2021-06-29,7.3
2021,2021-06-30,0.2
2022,2022-06-01,0.0
2022,2022-06-02,0.1
2022,2022-06-03,0.0
2022,2022-06-04,8.6
2022,2022-06-05,0.9
2022,2022-06-06,20.6
2022,2022-06-07,0.8
2022,2022-06-08,16.9
2022,2022-06-09,0.0
2022,2022-06-10,9.4
2022,2022-06-11,3.8
2022,2022-06-12,0.0
2022,2022-06-13,1.7
2022,2022-06-14,0.0
2022,2022-06-15,2.8
2022,2022-06-16,0.0
2022,2022-06-17,0.0
2022,2022-06-18,0.0
2022,2022-06-19,0.0
2022,2022-06-20,0.0
2022,2022-06-21,0.7
2022,2022-06-22,0.0
2022,2022-06-23,0.0
2022,2022-06-24,0.0
2022,2022-06-25,16.9
2022,2022-06-26,0.0
2022,2022-06-27,0.0
2022,2022-06-28,0.5
2022,2022-06-29,0.2
2022,2022-06-30,0.0
2023,2023-06-01,0.0
2023,2023-06-02,0.0
2023,2023-06-03,0.0
2023,2023-06-04,0.1
2023,2023-06-05,0.0
2023,2023-06-06,0.4
2023,2023-06-07,0.0
2023,2023-06-08,0.0
2023,2023-06-09,0.0
2023,2023-06-10,0.0
2023,2023-06-11,4.2
2023,2023-06-12,1.3
2023,2023-06-13,7.6
2023,2023-06-14,0.0
2023,2023-06-15,0.0
2023,2023-06-16,0.0
2023,2023-06-17,0.0
2023,2023-06-18,0.0
2023,2023-06-19,0.0
2023,2023-06-20,0.0
2023,2023-06-21,0.0
2023,2023-06-22,0.0
2023,2023-06-23,0.0
2023,2023-06-24,8.2
2023,2023-06-25,2.2
2023,2023-06-26,0.3
2023,2023-06-27,0.0
2023,2023-06-28,0.1
2023,2023-06-29,0.3
2023,2023-06-30,0.1
2024,2024-06-01,10.8
2024,2024-06-02,0.0
2024,2024-06-03,6.8
2024,2024-06-04,4.8
2024,2024-06-05,5.0
2024,2024-06-06,0.0
2024,2024-06-07,0.0
2024,2024-06-08,4.3
2024,2024-06-09,0.0
2024,2024-06-10,0.0
2024,2024-06-11,0.1
2024,2024-06-12,0.0
2024,2024-06-13,0.2
2024,2024-06-14,0.0
2024,2024-06-15,0.0
2024,2024-06-16,0.1
2024,2024-06-17,13.5
2024,2024-06-18,0.0
2024,2024-06-19,5.4
2024,2024-06-20,8.9
2024,2024-06-21,6.4
2024,2024-06-22,23.8
2024,2024-06-23,0.0
2024,2024-06-24,0.1
2024,2024-06-25,13.2
2024,2024-06-26,0.0
2024,2024-06-27,0.2
2024,2024-06-28,9.5
2024,2024-06-29,0.1
2024,2024-06-30,0.0
